Regions Code,Regions,Highest level of qualification (7 categories) Code,Highest level of qualification (7 categories),Sex (2 categories) Code,Sex (2 categories),Observation
E12000001,North East,-8,Does not apply,1,Female,227922
E12000001,North East,-8,Does not apply,2,Male,240131
E12000001,North East,0,No qualifications,1,Female,250670
E12000001,North East,0,No qualifications,2,Male,191709
E12000001,North East,1,"Level 1 and entry level qualifications",1,Female,113409
E12000001,North East,1,"Level 1 and entry level qualifications",2,Male,95510
E12000001,North East,2,"Level 2 qualifications",1,Female,169401
E12000001,North East,2,"Level 2 qualifications",2,Male,132247
E12000001,North East,3,"Level 3 qualifications",2,Male,205373
E12000001,North East,4,"Level 4 qualifications or above",1,Female,330320
E12000001,North East,4,"Level 4 qualifications or above",2,Male,292099
E12000001,North East,5,"Other",1,Female,62852
E12000001,North East,5,"Other",2,Male,136326
E12000002,North West,-8,Does not apply,1,Female,678439
E12000002,North West,-8,Does not apply,2,Male,713323
E12000002,North West,0,No qualifications,1,Female,639042
E12000002,North West,0,No qualifications,2,Male,535657
E12000002,North West,1,"Level 1 and entry level qualifications",1,Female,310046
E12000002,North West,1,"Level 1 and entry level qualifications",2,Male,273037
E12000002,North West,2,"Level 2 qualifications",1,Female,452493
E12000002,North West,2,"Level 2 qualifications",2,Male,366640
E12000002,North West,3,"Level 3 qualifications",1,Female,529391
E12000002,North West,3,"Level 3 qualifications",2,Male,532558
E12000002,North West,4,"Level 4 qualifications or above",1,Female,995779
E12000002,North West,4,"Level 4 qualifications or above",2,Male,884270
E12000002,North West,5,"Other",1,Female,172066
E12000002,North West,5,"Other",2,Male,334655
E12000003,Yorkshire and The Humber,-8,Does not apply,1,Female,498231
E12000003,Yorkshire and The Humber,-8,Does not apply,2,Male,522244
E12000003,Yorkshire and The Humber,0,No qualifications,1,Female,504250
E12000003,Yorkshire and The Humber,0,No qualifications,2,Male,415390
E12000003,Yorkshire and The Humber,1,"Level 1 and entry level qualifications",1,Female,239836
E12000003,Yorkshire and The Humber,1,"Level 1 and entry level qualifications",2,Male,209229
