RM107-2021-3-filtered-2024-11-30T12-43-39Z
Regions Code,Regions,Occupation Code,Occupation,Sex Code,Sex,Observation
E12000001,North East,-8,Does not apply,1,Female,798169
E12000001,North East,-8,Does not apply,2,Male,710788
E12000001,North East,1,"1. Managers, directors and senior officials",1,Female,42665
E12000001,North East,1,"1. Managers, directors and senior officials",2,Male,69881
E12000001,North East,2,2. Professional occupations,1,Female,113935
E12000001,North East,2,2. Professional occupations,2,Male,93384
E12000001,North East,3,3. Associate professional and technical occupations,1,Female,67554
E12000001,North East,3,3. Associate professional and technical occupations,2,Male,70912
E12000001,North East,4,4. Administrative and secretarial occupations,1,Female,84720
E12000001,North East,4,4. Administrative and secretarial occupations,2,Male,26556
E12000001,North East,5,5. Skilled trades occupations,1,Female,11228
E12000001,North East,5,5. Skilled trades occupations,2,Male,109713
E12000001,North East,6,"6. Caring, leisure and other service occupations",1,Female,96743
E12000001,North East,6,"6. Caring, leisure and other service occupations",2,Male,23380
E12000001,North East,7,7. Sales and customer service occupations,1,Female,70217
E12000001,North East,7,7. Sales and customer service occupations,2,Male,37259
E12000001,North East,8,"8. Process, plant and machine operatives",1,Female,9457
E12000001,North East,8,"8. Process, plant and machine operatives",2,Male,84472
E12000001,North East,9,9. Elementary occupations,1,Female,58930
E12000001,North East,9,9. Elementary occupations,2,Male,67049
E12000002,North West,-8,Does not apply,1,Female,2165453
E12000002,North West,-8,Does not apply,2,Male,1910199
E12000002,North West,1,"1. Managers, directors and senior officials",1,Female,140077
E12000002,North West,1,"1. Managers, directors and senior officials",2,Male,241758
E12000002,North West,2,2. Professional occupations,1,Female,345730
E12000002,North West,2,2. Professional occupations,2,Male,297213
E12000002,North West,3,3. Associate professional and technical occupations,1,Female,214576
E12000002,North West,3,3. Associate professional and technical occupations,2,Male,207452
E12000002,North West,4,4. Administrative and secretarial occupations,1,Female,242597
E12000002,North West,4,4. Administrative and secretarial occupations,2,Male,80446
E12000002,North West,5,5. Skilled trades occupations,1,Female,33636
E12000002,North West,5,5. Skilled trades occupations,2,Male,301181
E12000002,North West,6,"6. Caring, leisure and other service occupations",1,Female,267421
E12000002,North West,6,"6. Caring, leisure and other service occupations",2,Male,67508
E12000002,North West,7,7. Sales and customer service occupations,1,Female,173167
E12000002,North West,7,7. Sales and customer service occupations,2,Male,108830
E12000002,North West,8,"8. Process, plant and machine operatives",1,Female,30752
E12000002,North West,8,"8. Process, plant and machine operatives",2,Male,222818
E12000002,North West,9,9. Elementary occupations,1,Female,163849
E12000002,North West,9,9. Elementary occupations,2,Male,202733
E12000003,Yorkshire and The Humber,-8,Does not apply,1,Female,1616359
E12000003,Yorkshire and The Humber,-8,Does not apply,2,Male,1403046
E12000003,Yorkshire and The Humber,1,"1. Managers, directors and senior officials",1,Female,99903
E12000003,Yorkshire and The Humber,1,"1. Managers, directors and senior officials",2,Male,175614
E12000003,Yorkshire and The Humber,2,2. Professional occupations,1,Female,239786
E12000003,Yorkshire and The Humber,2,2. Professional occupations,2,Male,205365
E12000003,Yorkshire and The Humber,3,3. Associate professional and technical occupations,1,Female,153754
E12000003,Yorkshire and The Humber,3,3. Associate professional and technical occupations,2,Male,148460
E12000003,Yorkshire and The Humber,4,4. Administrative and secretarial occupations,1,Female,170040
E12000003,Yorkshire and The Humber,4,4. Administrative and secretarial occupations,2,Male,52561
E12000003,Yorkshire and The Humber,5,5. Skilled trades occupations,1,Female,27147
E12000003,Yorkshire and The Humber,5,5. Skilled trades occupations,2,Male,245642
E12000003,Yorkshire and The Humber,6,"6. Caring, leisure and other service occupations",1,Female,194990
E12000003,Yorkshire and The Humber,6,"6. Caring, leisure and other service occupations",2,Male,44684
E12000003,Yorkshire and The Humber,7,7. Sales and customer service occupations,1,Female,128327
E12000003,Yorkshire and The Humber,7,7. Sales and customer service occupations,2,Male,76494
E12000003,Yorkshire and The Humber,8,"8. Process, plant and machine operatives",1,Female,26666
E12000003,Yorkshire and The Humber,8,"8. Process, plant and machine operatives",2,Male,180401
E12000003,Yorkshire and The Humber,9,9. Elementary occupations,1,Female,134713
E12000003,Yorkshire and The Humber,9,9. Elementary occupations,2,Male,156822
E12000004,East Midlands,-8,Does not apply,1,Female,1392678
E12000004,East Midlands,-8,Does not apply,2,Male,1215052
E12000004,East Midlands,1,"1. Managers, directors and senior officials",1,Female,96126
E12000004,East Midlands,1,"1. Managers, directors and senior officials",2,Male,175914
E12000004,East Midlands,2,2. Professional occupations,1,Female,210560
E12000004,East Midlands,2,2. Professional occupations,2,Male,186711
E12000004,East Midlands,3,3. Associate professional and technical occupations,1,Female,135250
E12000004,East Midlands,3,3. Associate professional and technical occupations,2,Male,135927
E12000004,East Midlands,4,4. Administrative and secretarial occupations,1,Female,160582
E12000004,East Midlands,4,4. Administrative and secretarial occupations,2,Male,45706
E12000004,East Midlands,5,5. Skilled trades occupations,1,Female,26524
E12000004,East Midlands,5,5. Skilled trades occupations,2,Male,219585
E12000004,East Midlands,6,"6. Caring, leisure and other service occupations",1,Female,176420
E12000004,East Midlands,6,"6. Caring, leisure and other service occupations",2,Male,39065
E12000004,East Midlands,7,7. Sales and customer service occupations,1,Female,111350
E12000004,East Midlands,7,7. Sales and customer service occupations,2,Male,63557
E12000004,East Midlands,8,"8. Process, plant and machine operatives",1,Female,35219
E12000004,East Midlands,8,"8. Process, plant and machine operatives",2,Male,166426
E12000004,East Midlands,9,9. Elementary occupations,1,Female,133159
E12000004,East Midlands,9,9. Elementary occupations,2,Male,154246
E12000005,West Midlands,-8,Does not apply,1,Female,1775502
E12000005,West Midlands,-8,Does not apply,2,Male,1536366
E12000005,West Midlands,1,"1. Managers, directors and senior officials",1,Female,106225
E12000005,West Midlands,1,"1. Managers, directors and senior officials",2,Male,197842
E12000005,West Midlands,2,2. Professional occupations,1,Female,256621
E12000005,West Midlands,2,2. Professional occupations,2,Male,227960
E12000005,West Midlands,3,3. Associate professional and technical occupations,1,Female,156336
E12000005,West Midlands,3,3. Associate professional and technical occupations,2,Male,155181
E12000005,West Midlands,4,4. Administrative and secretarial occupations,1,Female,191033
E12000005,West Midlands,4,4. Administrative and secretarial occupations,2,Male,56267
E12000005,West Midlands,5,5. Skilled trades occupations,1,Female,28736
